,0.1-1.0,2.0-4.0,4.0-14.0,4.0-8.0,8.0-14.0
2019-11-02 06:15:01.860,7.21535293854e-07,1.62901277634e-10,4.91354464776e-11,4.36739932944e-11,2.22986755836e-11
2019-11-02 06:30:01.860,7.11068234949e-07,1.68911695691e-10,7.38922513773e-11,5.7131505738e-11,4.64702990485e-11
2019-11-02 06:45:01.860,7.55612168918e-07,1.67514267839e-10,7.7379707878e-11,6.10004304773e-11,4.72103637427e-11
2019-11-02 07:00:01.860,7.7280458329e-07,1.82231560992e-10,6.985099603e-11,6.35659407616e-11,2.872391096e-11
2019-11-02 07:15:01.860,7.79853697584e-07,1.91555999779e-10,7.32215651254e-11,6.64252883576e-11,3.05096023289e-11
2019-11-02 07:30:01.860,7.75780277875e-07,1.94841265638e-10,7.43165988854e-11,6.75754247424e-11,3.06065501218e-11
2019-11-02 07:45:01.860,7.778607298e-07,2.0407183545e-10,8.49844393246e-11,7.55831829019e-11,3.85865595097e-11
2019-11-02 08:00:01.860,8.39363270394e-07,2.04926194408e-10,8.50866796763e-11,7.60279291633e-11,3.79404027008e-11
2019-11-02 08:15:01.860,8.28681605057e-07,2.08621260732e-10,8.53352207201e-11,7.46294894641e-11,4.1108945409e-11
2019-11-02 08:30:01.860,8.40635180371e-07,2.05133571265e-10,9.72068299166e-11,8.03339149771e-11,5.43574020145e-11
2019-11-02 08:45:01.860,9.07542532439e-07,2.00604430655e-10,9.79283833239e-11,8.02808445112e-11,5.56606408745e-11
2019-11-02 09:00:01.860,8.28732288857e-07,2.03269088177e-10,9.50651313975e-11,8.61064059891e-11,3.99049732564e-11
2019-11-02 09:15:01.860,8.90416465735e-07,2.02189544768e-10,9.90262369759e-11,8.83525328879e-11,4.43640614971e-11
2019-11-02 09:30:01.860,8.84000553461e-07,2.03208172155e-10,9.81067220221e-11,8.96446930502e-11,3.94570061994e-11
2019-11-02 09:45:01.860,7.90746859318e-07,2.02373540978e-10,1.1726580074e-10,9.81941478893e-11,6.36881112873e-11
2019-11-02 10:00:01.860,8.6996621938e-07,2.0175888712e-10,1.13261233019e-10,9.26538976394e-11,6.47025205169e-11
2019-11-02 10:15:01.860,8.75383159914e-07,2.09026351127e-10,9.83130387364e-11,8.90886706635e-11,4.11742899521e-11
2019-11-02 10:30:01.860,8.32278200046e-07,2.09807025913e-10,9.58633761675e-11,8.05270732086e-11,5.17237974262e-11
2019-11-02 10:45:01.860,8.56610977666e-07,2.05897976258e-10,1.03871101373e-10,8.39492409758e-11,6.09049708504e-11
2019-11-02 11:00:01.860,9.02228737914e-07,2.13273993046e-10,1.0197963278e-10,8.98641791173e-11,4.79286198866e-11
2019-11-02 11:15:01.860,8.67771218294e-07,2.13901669102e-10,1.08114802606e-10,9.22253836688e-11,5.60991428251e-11
2019-11-02 11:30:01.860,8.6687139679e-07,2.11712320484e-10,1.12610727394e-10,9.81612631779e-11,5.48008838109e-11
2019-11-02 11:45:01.860,9.41325882456e-07,2.11980039865e-10,1.01414051668e-10,9.09120396359e-11,4.4570839122e-11
2019-11-02 12:00:01.860,9.30120395241e-07,2.1887713754e-10,1.20243410705e-10,1.05957403963e-10,5.63318642858e-11
2019-11-02 12:15:01.860,9.59866236842e-07,2.13708916141e-10,1.2370031552e-10,1.10819475483e-10,5.44113513526e-11
2019-11-02 12:30:01.860,9.75247654405e-07,2.00511818423e-10,1.07160917172e-10,9.82463132019e-11,4.24243107295e-11
2019-11-02 12:45:01.860,9.15917110657e-07,1.92067930379e-10,9.98397462903e-11,8.95900336624e-11,4.37476018942e-11
2019-11-02 13:00:01.860,9.37875773071e-07,1.96562141844e-10,1.09887725191e-10,9.80456292044e-11,4.90720490959e-11
2019-11-02 13:15:01.860,9.04426396944e-07,1.96560470952e-10,1.14390400764e-10,1.02706405741e-10,4.97855996074e-11
2019-11-02 13:30:01.860,8.3268447155e-07,1.86866754341e-10,1.09781860254e-10,9.9850900714e-11,4.51483848777e-11
2019-11-02 13:45:01.860,8.94107461052e-07,1.80462767275e-10,1.07371057273e-10,9.63367206599e-11,4.68440640945e-11
2019-11-02 14:00:01.860,9.25282884904e-07,1.77797751808e-10,1.43253147056e-10,1.29364285656e-10,5.90536872586e-11
2019-11-02 14:15:01.860,9.41474557689e-07,1.67622384883e-10,1.33070503074e-10,1.20518891576e-10,5.40279818798e-11
2019-11-02 14:30:01.860,9.67368524952e-07,1.68069726282e-10,1.00368880473e-10,8.62158499169e-11,5.07035630358e-11
2019-11-02 14:45:01.860,9.40399188594e-07,1.72255114228e-10,9.45224384153e-11,7.95680072941e-11,5.05890942853e-11
2019-11-02 15:00:01.860,1.01148549606e-06,1.7207391251e-10,9.42083729754e-11,8.38454057162e-11,4.25378779704e-11
2019-11-02 15:15:01.860,1.03745699514e-06,1.6662059171e-10,8.41290119722e-11,7.58787473987e-11,3.59926310212e-11
2019-11-02 15:30:01.860,9.3931498963e-07,1.57933012366e-10,7.91120056178e-11,7.13267222398e-11,3.390336846e-11
2019-11-02 15:45:01.860,8.97120315203e-07,1.59257728063e-10,8.70982925757e-11,7.99314874356e-11,3.42668101927e-11
2019-11-02 16:00:01.860,9.38595080767e-07,1.63563689943e-10,8.46370142423e-11,7.63999300629e-11,3.61029613573e-11
2019-11-02 16:15:01.860,9.8754506189e-07,1.64239273159e-10,8.02054036371e-11,7.19892745741e-11,3.51279803061e-11
