,4.0-14.0,5.0-20.0
2019-12-10 03:44:54.990000,5.17522746007e-09,3.45886272047e-09
2019-12-10 03:59:54.990000,6.50123205248e-09,4.90119483268e-09
2019-12-10 04:14:54.990000,7.69545727805e-09,5.90955507816e-09
2019-12-10 04:29:54.990000,8.59421033584e-09,6.48419088495e-09
2019-12-10 04:44:54.990000,1.31282838155e-08,8.82335832822e-09
2019-12-10 04:59:54.990000,1.37709436882e-08,9.17145456029e-09
2019-12-10 05:14:54.990000,1.32987049238e-08,9.3960914116e-09
2019-12-10 05:29:54.990000,1.49191088442e-08,1.0203221762e-08
2019-12-10 05:44:54.990000,1.29488432691e-08,8.54148893748e-09
2019-12-10 05:59:54.990000,1.4497580929e-08,8.93578321063e-09
2019-12-10 06:14:54.990000,1.71674538925e-08,1.04080816977e-08
2019-12-10 06:29:54.990000,1.40287932694e-08,8.99003607823e-09
2019-12-10 06:44:54.990000,1.395612845e-08,9.27515278121e-09
2019-12-10 06:59:54.990000,1.60470071227e-08,1.06331330252e-08
2019-12-10 07:14:54.990000,1.44587096026e-08,9.1448243435e-09
2019-12-10 07:29:54.990000,1.49221085152e-08,9.59711666492e-09
2019-12-10 07:44:54.990000,1.4927441986e-08,9.45365079714e-09
2019-12-10 07:59:54.990000,1.30930947271e-08,8.58170060523e-09
2019-12-10 08:14:54.990000,1.26172400743e-08,8.78259975455e-09
2019-12-10 08:29:54.990000,1.56146711976e-08,9.53004960486e-09
2019-12-10 08:44:54.990000,1.43603263009e-08,8.7145919023e-09
2019-12-10 08:59:54.990000,1.14805427486e-08,7.95892228182e-09
2019-12-10 09:14:54.990000,1.20671451594e-08,8.80088507179e-09
2019-12-10 09:29:54.990000,1.37520741216e-08,9.04033785878e-09
2019-12-10 09:44:54.990000,1.41482194338e-08,9.09175616718e-09
2019-12-10 09:59:54.990000,1.39125728644e-08,8.66262730513e-09
2019-12-10 10:14:54.990000,1.40490949585e-08,8.66048717489e-09
2019-12-10 10:29:54.990000,1.10717876789e-08,8.10829546027e-09
2019-12-10 10:44:54.990000,1.3873169005e-08,8.66315773678e-09
2019-12-10 10:59:54.990000,1.49867236662e-08,9.23675822911e-09
2019-12-10 11:14:54.990000,1.18571225874e-08,8.06587083081e-09
2019-12-10 11:29:54.990000,1.03261198722e-08,8.13610371925e-09
2019-12-10 11:44:54.990000,1.03818527917e-08,8.37890418253e-09
2019-12-10 11:59:54.990000,1.16210897999e-08,8.79014415176e-09
2019-12-10 12:14:54.990000,1.29962620725e-08,9.98790545947e-09
2019-12-10 12:29:54.990000,1.2117826021e-08,9.55224303744e-09
2019-12-10 12:44:54.990000,1.14248194667e-08,8.50753098148e-09
2019-12-10 12:59:54.990000,1.13270601577e-08,8.43757248116e-09
2019-12-10 13:14:54.990000,1.07754852131e-08,7.81148520944e-09
2019-12-10 13:29:54.990000,9.13566914194e-09,7.17827532498e-09
2019-12-10 13:44:54.990000,9.00031742741e-09,7.09582447975e-09
2019-12-10 13:59:54.990000,8.06379307199e-09,6.5404157685e-09
2019-12-10 14:14:54.990000,8.11740025278e-09,6.73260099334e-09
2019-12-10 14:29:54.990000,8.18253232064e-09,6.88606470619e-09
2019-12-10 14:44:54.990000,7.88481744224e-09,6.64315632151e-09
2019-12-10 14:59:54.990000,7.4826484242e-09,6.26636197769e-09
2019-12-10 15:14:54.990000,7.06041129606e-09,5.74366943875e-09
2019-12-10 15:29:54.990000,7.52294671637e-09,6.28898726463e-09
2019-12-10 15:44:54.990000,7.20475437959e-09,5.91373708176e-09
2019-12-10 15:59:54.990000,7.3388064332e-09,6.10541420096e-09
2019-12-10 16:14:54.990000,6.73021533038e-09,5.62323919838e-09
2019-12-10 16:29:54.990000,6.85972933964e-09,5.7306266062e-09
2019-12-10 16:44:54.990000,6.94092721414e-09,5.58194450728e-09
2019-12-10 16:59:54.990000,6.69430360745e-09,5.5736097697e-09
2019-12-10 17:14:54.990000,5.80307480038e-09,4.64116200715e-09
2019-12-10 17:29:54.990000,5.79406200132e-09,4.84437845249e-09
2019-12-10 17:44:54.990000,5.69293013495e-09,4.81100874065e-09
2019-12-10 17:59:54.990000,5.13313792011e-09,4.32135476818e-09
2019-12-10 18:14:54.990000,4.59618599822e-09,3.77187808831e-09
2019-12-10 18:29:54.990000,4.88280630045e-09,4.16665055527e-09
2019-12-10 18:44:54.990000,4.52394485327e-09,3.81910077194e-09
2019-12-10 18:59:54.990000,3.85171496549e-09,3.10630763414e-09
2019-12-10 19:14:54.990000,3.45076164125e-09,2.7912095788e-09
2019-12-10 19:29:54.990000,3.25685201241e-09,2.60719298713e-09
2019-12-10 19:44:54.990000,3.47011039735e-09,2.83504077897e-09
2019-12-10 19:59:54.990000,3.21680719801e-09,2.63679394374e-09
2019-12-10 20:14:54.990000,2.94334123263e-09,2.41757974283e-09
2019-12-10 20:29:54.990000,2.87191782708e-09,2.33514895153e-09
2019-12-10 20:44:54.990000,2.74964169858e-09,2.24602810793e-09
2019-12-10 20:59:54.990000,2.45667077784e-09,2.02272057524e-09
2019-12-10 21:14:54.990000,2.29039515637e-09,1.81715503718e-09
2019-12-10 21:29:54.990000,2.33917226893e-09,1.87264279291e-09
