,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0,10.0-30.0
2020-04-21 23:14:59.000000,2.6352583922e-07,7.23821954974e-09,2.71519357245e-09,6.39620297639e-09,3.21626765585e-08
2020-04-21 23:29:59.000000,2.59122742354e-07,7.54275129549e-09,3.15204818444e-09,6.78518163531e-09,3.1435395578e-08
2020-04-21 23:44:59.000000,2.59107482946e-07,7.58372836551e-09,2.65071126541e-09,6.88871325784e-09,3.47386105705e-08
2020-04-21 23:59:59.000000,2.58196802624e-07,7.10853806356e-09,2.3447152813e-09,6.40646060867e-09,3.15532273863e-08
2020-04-22 00:14:59.000000,2.62894194637e-07,7.00853878468e-09,2.17213688359e-09,6.27249037021e-09,3.16761530697e-08
2020-04-22 00:29:59.000000,2.45255349852e-07,7.14152406803e-09,2.05276322126e-09,6.43216077067e-09,3.31266490775e-08
2020-04-22 00:44:59.000000,2.26748538533e-07,7.07621953048e-09,1.86711237825e-09,6.47935497605e-09,3.28006166504e-08
2020-04-22 00:59:59.000000,2.33314716812e-07,6.90530725526e-09,1.84794552441e-09,6.33580331379e-09,3.19699992201e-08
2020-04-22 01:14:59.000000,2.28017382653e-07,6.82019976028e-09,1.80547016504e-09,6.24636576122e-09,3.22668887882e-08
2020-04-22 01:29:59.000000,2.369076529e-07,6.94492227317e-09,1.64714266319e-09,6.33106839733e-09,3.35017427706e-08
2020-04-22 01:44:59.000000,2.28366505619e-07,6.69227173102e-09,1.56766923569e-09,6.07498802785e-09,3.21539018175e-08
2020-04-22 01:59:59.000000,2.29554328585e-07,6.65276709981e-09,1.62367428736e-09,6.12653114763e-09,3.09052627492e-08
2020-04-22 02:14:59.000000,2.28475141999e-07,6.69279689234e-09,1.55564710118e-09,6.18298291674e-09,3.20428172061e-08
2020-04-22 02:29:59.000000,2.15669423311e-07,6.53110606699e-09,1.5333108146e-09,6.0864213875e-09,3.0115393052e-08
2020-04-22 02:44:59.000000,2.26195492593e-07,6.56412574315e-09,1.61734763797e-09,6.01152004943e-09,3.11899948926e-08
2020-04-22 02:59:59.000000,2.34312692381e-07,6.52930114454e-09,1.53707280615e-09,5.87083836817e-09,3.04539263482e-08
2020-04-22 03:14:59.000000,2.26342776182e-07,6.69953531306e-09,1.72838709438e-09,6.06101233429e-09,3.074777638e-08
2020-04-22 03:29:59.000000,2.2063507032e-07,6.64496450445e-09,1.63418893788e-09,6.07452378857e-09,3.21225552903e-08
2020-04-22 03:44:59.000000,2.3069273374e-07,6.72196090447e-09,1.51845636577e-09,6.16860393803e-09,3.25869337779e-08
2020-04-22 03:59:59.000000,2.39150400773e-07,6.5264074995e-09,1.62495821127e-09,6.07831290784e-09,3.13677863835e-08
2020-04-22 04:14:59.000000,2.3190481565e-07,6.52404036985e-09,1.70739032701e-09,5.91748083204e-09,3.06269986136e-08
2020-04-22 04:29:59.000000,2.40026423815e-07,7.12285266045e-09,1.98439615868e-09,6.00235154344e-09,2.88967718083e-08
2020-04-22 04:44:59.000000,2.35918101308e-07,6.66285532108e-09,1.62558182889e-09,6.05458505143e-09,2.93293273069e-08
2020-04-22 04:59:59.000000,2.25871331774e-07,6.66624064953e-09,1.40210453994e-09,6.16504394453e-09,3.07593700364e-08
2020-04-22 05:14:59.000000,2.30382310083e-07,6.5972090644e-09,1.50085051666e-09,6.08589239033e-09,3.15895126803e-08
2020-04-22 05:29:59.000000,2.27369313264e-07,6.6581158102e-09,1.59901322524e-09,6.11279887265e-09,3.14263805658e-08
2020-04-22 05:44:59.000000,2.25417460981e-07,6.90613122665e-09,1.51673088911e-09,6.31148402834e-09,3.15269387878e-08
2020-04-22 05:59:59.000000,2.23975876893e-07,6.70526872379e-09,1.49606461753e-09,6.15025627955e-09,3.02149401003e-08
2020-04-22 06:14:59.000000,2.29602728334e-07,6.99231384031e-09,1.69400276413e-09,6.17896504555e-09,3.05093399157e-08
2020-04-22 06:29:59.000000,2.43491344206e-07,6.38513970182e-09,1.3318390231e-09,5.75766450763e-09,2.80528099246e-08
2020-04-22 06:44:59.000000,2.32058370617e-07,6.62551918468e-09,1.23965207877e-09,6.13097687661e-09,3.12876717559e-08
2020-04-22 06:59:59.000000,2.41283676715e-07,6.91814874158e-09,1.46767168289e-09,6.26361429845e-09,3.19865705529e-08
